title,price,pages,reviews,value_per_page,link
Everything Store: Jeff Bezos and the Age,422.0,464,12145,1.099526066350711,https://www.amazon.in/dp/0552167835/?coliid=I2VAQ2YXRMDXE6&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"DELIVERING HAPPINESS:-A PATH TO PROFITS, PASSION, AND PURPOSE",262.0,304,5603,1.1603053435114503,https://www.amazon.in/dp/145550890X/?coliid=IN7PI0H054L1Z&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"Invent and Wander: The Collected Writing: The Collected Writings of Jeff Bezos, With an Introduction by Walter Isaacson [Hardcover] Bezos, Jeff and Isaacson, Walter",889.0,288,3300,0.32395950506186727,https://www.amazon.in/dp/1647820715/?coliid=IGE405WA5DJDO&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Hit Refresh,317.0,288,4804,0.9085173501577287,https://www.amazon.in/dp/0008247692/?coliid=I1OK4L6SS8AVUT&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Onward,862.0,384,1743,0.44547563805104406,https://www.amazon.in/dp/1609613821/?coliid=I29JQB6WGZUPI8&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
THAT WILL NEVER WORK: THE BIRTH OF NETFLIX BY THE FIRST CEO AND CO-FOUNDER MARC RANDOLPH,409.0,320,4636,0.78239608801956,https://www.amazon.in/dp/1913068218/?coliid=I3ELCE5IFQ3BJG&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
The Amazon Way: Amazon's 14 Leadership Principles,266.0,168,1433,0.631578947368421,https://www.amazon.in/dp/8183286410/?coliid=IRJKTEOX5CR9G&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
The CEO Factory (PB),262.0,272,1743,1.0381679389312977,https://www.amazon.in/dp/9353451140/?coliid=I1Y6XCZM53UAMJ&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Who,899.0,208,2501,0.23136818687430477,https://www.amazon.in/dp/0345504194/?coliid=I1TGYZ20W4BTDR&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",368.0,304,3159,0.8260869565217391,https://www.amazon.in/dp/1529033845/?coliid=I23BLS1PBWV29W&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
