title,author,price,pages,reviews,avg_rating,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
The Mahabharata: Volume 1-10,Bibek Debroy,7498.0,5000,23,4.7,1.4996,https://www.amazon.in/dp/0670100226/?coliid=I2HCOZEMJ5YB9U&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0670100226,Hardcover Books,"Hardcover

₹7,498.00",2025-07-21T19:57:12.138988
FACTFULNESS: TEN REASONS WE'RE WRONG ABOUT THE WORLD - AND WHY THINGS ARE BETTER THAN YOU THINK,Hans Rosling,360.0,352,22781,4.6,1.0227272727272727,https://www.amazon.in/dp/1473637465/?coliid=I13X5AV6TYHB81&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1473637465,Hardcover Books,"Hardcover

₹360.00",2025-07-21T19:57:13.931252
Breaking the Habit of Being Yourself (Limited Edition Premium Hardcover),Joe Dispenza,458.0,360,16557,4.6,1.2722222222222221,https://www.amazon.in/dp/9394613404/?coliid=I1DJN7MPCS7D45&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9394613404,Hardcover Books,"Hardcover

₹458.00",2025-07-21T19:57:15.432726
DISCIPLINE IS DESTINY: THE POWER OF SELF-CONTROL,Ryan Holiday,439.0,352,4961,4.6,1.2471590909090908,https://www.amazon.in/dp/1788166337/?coliid=IKFAX9Z9VLXGS&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1788166337,Hardcover Books,"Hardcover

₹439.00",2025-07-21T19:57:15.930222
D&ad: The Copy Book,D&AD,1700.0,544,510,4.7,3.125,https://www.amazon.in/dp/3836568527/?coliid=I1CB6UVAGC3HZN&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,3836568527,Hardcover Books,"Paperback

₹1,700.00",2025-07-21T19:57:21.731992
100 Proven Ways to Acquire and Keep Clients for Life: The Path to Permanent Business Success,"Richard Weylman, Bob Burg, ",2096.0,199,22,4.4,10.532663316582914,https://www.amazon.in/dp/168481524X/?coliid=I1L7TNWZVPVOSQ&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,168481524X,Hardcover Books,"Hardcover

₹2,096.00",2025-07-21T19:57:23.768416
Shaolin: How To Win Without Fighting (English),"Bernhard Moestl, Anya Malhotra",328.0,312,165,4.5,1.0512820512820513,https://www.amazon.in/dp/9355430434/?coliid=ITYYN9R10K5PK&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355430434,Hardcover Books,"Hardcover

₹328.00",2025-07-21T19:57:27.063227
"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant","Renee A. Mauborgne, W. Chan Kim",882.0,320,5729,4.6,2.75625,https://www.amazon.in/dp/1625274491/?coliid=I2TYPO7D2TA3SI&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1625274491,Hardcover Books,"Hardcover

₹882.00",2025-07-21T19:57:34.271708
"Pumpkin Plan, The",Mike Michalowicz,1099.0,240,1385,4.7,4.579166666666667,https://www.amazon.in/dp/1591844886/?coliid=I1UFV671GPA9D8&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1591844886,Hardcover Books,"Hardcover

₹1,099.00",2025-07-21T19:57:34.422142
The Art Of War | Sun Tzu,Sun Tzu,208.0,144,23702,4.1,1.4444444444444444,https://www.amazon.in/dp/8119660706/?coliid=I2F4UD9VTOMOWN&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,8119660706,Hardcover Books,"Hardcover

₹123.00",2025-07-21T19:57:38.211164
Dotcom Secrets: The Underground Playbook for Growing Your Company Online with Sales Funnels,Russell Brunson,446.0,424,2934,4.6,1.0518867924528301,https://www.amazon.in/dp/9391067301/?coliid=IKJ8A0TTLKZLF&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9391067301,Hardcover Books,"Hardcover

₹446.00",2025-07-21T19:57:44.069040
The Wealth of Nations (Deluxe Hardbound Edition),Adam Smith,699.0,944,1658,4.5,0.7404661016949152,https://www.amazon.in/dp/9358561629/?coliid=I2ZTRDVMDHV7OH&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9358561629,Hardcover Books,"Hardcover

₹699.00",2025-07-21T19:57:45.636307
Negotiation: The Brian Tracy Success Library,Brian Tracy,201.0,112,361,4.4,1.7946428571428572,https://www.amazon.in/dp/9387383075/?coliid=I7G7C150FBVNL&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9387383075,Hardcover Books,"Hardcover

₹201.00",2025-07-21T19:57:48.295179
Little Black Book of Workout Motivation,,2915.77,,1817,4.4,,https://www.amazon.in/dp/1938895355/?coliid=I2KKU7OQ2BBG41&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1938895355,Hardcover Books,"Hardcover

₹2,915.77",2025-07-21T19:57:56.164572
"Arthashastra by Kautilya (Deluxe Edition) English,Book of Ancient Indian Economic Concepts,Explore Indian Political Theory/Military Strategy,Easy-To-Understand Translation Of Ancient Sanskrit Script",Kautilya,499.0,584,2242,4.4,0.8544520547945206,https://www.amazon.in/dp/9354409059/?coliid=I22VSZ1OUEM7YP&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9354409059,Hardcover Books,"Hardcover

₹499.00",2025-07-21T19:57:56.563854
Atlas of the Heart : Mapping Meaningful: Mapping Meaningful Connection and the Language of Human Experience,Brene Brown,1227.49,336,5761,4.6,3.6532440476190478,https://www.amazon.in/dp/1785043773/?coliid=I2BAJDC6J374OH&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1785043773,Hardcover Books,"Hardcover

₹1,227.49",2025-07-21T19:58:01.676886
Swipe Up for More!: Inside the Unfiltered Lives of Influencers,Stephanie McNeal,794.0,272,157,3.7,2.9191176470588234,https://www.amazon.in/dp/0593418603/?coliid=I1C4FYQ5BASZ27&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0593418603,Hardcover Books,"Hardcover

₹794.00",2025-07-21T19:58:04.690199
Elevate,Robert Glazer,765.87,168,1252,4.5,4.55875,https://www.amazon.in/dp/1492691488/?coliid=I70875R336AUJ&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1492691488,Hardcover Books,"Hardcover

₹765.87",2025-07-21T19:58:06.526825
